x,y,episodes
-11.931985767792979,6.820617023601008,Eric Weinstein: Geometric Unity and the Call for New Ideas & Institutions | Lex Fridman Podcast #88
19.96942452252346,8.335947218259523,"Stephen Wolfram: Cellular Automata, Computation, and Physics | Lex Fridman Podcast #89"
14.624458629290737,-10.016869697555345,Dmitry Korkin: Computational Biology of Coronavirus | Lex Fridman Podcast #90
2.1304272472719044,-18.967107133779237,"Jack Dorsey: Square, Cryptocurrency, and Artificial Intelligence | Lex Fridman Podcast #91"
1.6069423590069685,1.1459856713182743,Harry Cliff: Particle Physics and the Large Hadron Collider | Lex Fridman Podcast #92
29.540497868938715,0.43215675657954944,Daphne Koller: Biomedicine and Machine Learning | Lex Fridman Podcast #93
21.91682615205302,-19.42938211280128,Ilya Sutskever: Deep Learning | Lex Fridman Podcast #94
23.020709017868242,-17.3448201066351,Dawn Song: Adversarial Machine Learning and Computer Security | Lex Fridman Podcast #95
10.171744473962057,-12.290970805028097,"Stephen Schwarzman: Going Big in Business, Investing, and AI | Lex Fridman Podcast #96"
12.59486273843299,-10.054002728224605,Sertac Karaman: Robots That Fly and Robots That Drive | Lex Fridman Podcast #97
5.859390288552416,-1.886512058552361,Kate Darling: Social Robotics | Lex Fridman Podcast #98
16.70839914304606,26.017643792137836,Karl Friston: Neuroscience and the Free Energy Principle | Lex Fridman Podcast #99
23.001930347746974,20.146621901838397,Joscha Bach: Artificial Consciousness and the Nature of Reality | Lex Fridman Podcast #101
-23.09700046695853,0.33344926741029346,Steven Pressfield: The War of Art | Lex Fridman Podcast #102
25.203180713516588,-1.6384612883973166,Ben Goertzel: Artificial General Intelligence | Lex Fridman Podcast #103
10.22584478229051,-12.878735654827405,David Patterson: Computer Architecture and Data Storage | Lex Fridman Podcast #104
-6.608874810083925,11.168251914662418,Robert Langer: Edison of Medicine | Lex Fridman Podcast #105
31.78644147203603,5.684482821630829,"Matt Botvinick: Neuroscience, Psychology, and AI at DeepMind | Lex Fridman Podcast #106"
7.957592818357725,13.434406347383158,"Peter Singer: Suffering in Humans, Animals, and AI | Lex Fridman Podcast #107"
30.61316421758421,-16.33453679084719,Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast #108
8.341748205414621,-16.81687393947211,"Brian Kernighan: UNIX, C, AWK, AMPL, and Go Programming | Lex Fridman Podcast #109"
23.1124979284364,-12.91317734766293,Jitendra Malik: Computer Vision | Lex Fridman Podcast #110
20.162241297377122,-12.25424430705748,Richard Karp: Algorithms and Computational Complexity | Lex Fridman Podcast #111
-10.850795883695712,14.10592481715992,"Ian Hutchinson: Nuclear Fusion, Plasma Physics, and Religion | Lex Fridman Podcast #112"
-2.225005663025419,11.146344302149629,Manolis Kellis: Human Genome and Evolutionary Dynamics | Lex Fridman Podcast #113
8.25551639459521,-7.3927719414931765,"Russ Tedrake: Underactuated Robotics, Control, Dynamics and Touch | Lex Fridman Podcast #114"
31.523327065333678,13.217992483916483,Dileep George: Brain-Inspired AI | Lex Fridman Podcast #115
2.5669895553896924,14.200166210807305,Sara Seager: Search for Planets and Life Outside Our Solar System | Lex Fridman Podcast #116
-12.266961436252997,19.1532218819206,Sheldon Solomon: Death and Meaning | Lex Fridman Podcast #117
23.033704232737122,-8.521749047524578,"Grant Sanderson: Math, Manim, Neural Networks & Teaching with 3Blue1Brown | Lex Fridman Podcast #118"
11.140578440798432,23.373069646319124,David Eagleman: Neuroplasticity and the Livewired Brain | Lex Fridman Podcast #119
15.26873804023279,9.019197291230661,François Chollet: Measures of Intelligence | Lex Fridman Podcast #120
16.157630839275317,-2.5539246886326206,Eugenia Kuyda: Friendship with an AI Companion | Lex Fridman Podcast #121
-9.642798630751981,2.244244309358536,"David Fravor: UFOs, Aliens, Fighter Jets, and Aerospace Engineering | Lex Fridman Podcast #122"
-4.164538077145253,31.863682025528025,"Manolis Kellis: Origin of Life, Humans, Ideas, Suffering, and Happiness | Lex Fridman Podcast #123"
8.337271963177923,19.544207453725157,"Stephen Wolfram: Fundamental Theory of Physics, Life, and the Universe | Lex Fridman Podcast #124"
-26.527094889068856,4.614108099239354,"Ryan Hall: Martial Arts and the Philosophy of Violence, Power, and Grace | Lex Fridman Podcast #125"
5.07614582338498,-13.714756438437126,"James Gosling: Java, JVM, Emacs, and the Early Days of Computing | Lex Fridman Podcast #126"
-22.570479415262753,1.8688995920128775,"Joe Rogan: Fear, Love, Chaos, and the Joe Rogan Experience | Lex Fridman Podcast #127"
-25.176662813135653,-5.091049488933421,"Michael Malice: Anarchy, Democracy, Libertarianism, Love, and Trolling | Lex Fridman Podcast #128"
9.474661519603917,25.128185720173008,Lisa Feldman Barrett: Counterintuitive Ideas About How the Brain Works | Lex Fridman Podcast #129
24.67958154926867,24.408840693780434,Scott Aaronson: Computational Complexity and Consciousness | Lex Fridman Podcast #130
